title,author,price,img
"IT CookBook, 처음 만나는 신재생에너지",김지홍,25000,https://www.hanbit.co.kr/data/books/B4872546419_m.jpg
프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스",35000,https://www.hanbit.co.kr/data/books/B1710834745_m.jpg
"IT CookBook, CentOS 리눅스",이종원,32000,https://www.hanbit.co.kr/data/books/B8200129293_m.jpg
"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam",49000,https://www.hanbit.co.kr/data/books/B8983481859_m.jpg
정서노동과 행복,이동명,23000,https://www.hanbit.co.kr/data/books/B1504869688_m.jpg
누구나 파이썬 통계분석,타니아이 히로키,26000,https://www.hanbit.co.kr/data/books/B2049588591_m.jpg
4차산업혁명시대 신노사관계론,정형일,30000,https://www.hanbit.co.kr/data/books/B8430613802_m.jpg
회계원리,"김확열 , 최상문",13000,https://www.hanbit.co.kr/data/books/B3157570293_m.jpg
제대로 배우는 MATLAB&Simulink,방성완,29000,https://www.hanbit.co.kr/data/books/B9686002641_m.jpg
의료관광론,고태규,25000,https://www.hanbit.co.kr/data/books/B7188500937_m.jpg
공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡,25000,https://www.hanbit.co.kr/data/books/B9775723468_m.jpg
EXCEL로 구현해 보는 행렬회계,정용기,30000,https://www.hanbit.co.kr/data/books/B6781425210_m.jpg
벤처창업과 투자전략(개정판),정종용,22000,https://www.hanbit.co.kr/data/books/B2429458810_m.jpg
최신 마케팅,"고인곤 , 성정연 , 이성철 , 이승희 , 장형유 , 허남일",30000,https://www.hanbit.co.kr/data/books/B4308925888_m.jpg
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원,24000,https://www.hanbit.co.kr/data/books/B9926708672_m.jpg
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순,27000,https://www.hanbit.co.kr/data/books/B3710025332_m.jpg
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스",32000,https://www.hanbit.co.kr/data/books/B8424694196_m.jpg
처음 배우는 통계학,"이호선 , 유현미 , 김종배",27000,https://www.hanbit.co.kr/data/books/B4752093366_m.jpg
기초수학 : Basic Mathematics(2판),이재원,20000,https://www.hanbit.co.kr/data/books/B8928200501_m.jpg
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남,25000,https://www.hanbit.co.kr/data/books/B8030074555_m.jpg
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주,27000,https://www.hanbit.co.kr/data/books/B6282611417_m.jpg
